image_name,label
1.png,0
2.png,0
3.png,0
4.png,0
5.png,0
6.png,0
7.png,0
8.png,1
9.png,0
10.png,0
11.png,0
12.png,1
13.png,1
14.png,1
15.png,1
16.png,0
17.png,0
18.png,1
19.png,1
20.png,1
21.png,1
22.png,1
23.png,0
24.png,0
25.png,0
26.png,0
27.png,0
28.png,0
29.png,0
30.png,0
31.png,1
32.png,1
33.png,1
34.png,1
35.png,1
36.png,1
37.png,1
38.png,1
39.png,1
40.png,1
41.png,1
42.png,1
43.png,1
44.png,1
45.png,1
46.png,1
47.png,1
48.png,1
49.png,0
50.png,0
51.png,1
52.png,1
53.png,1
54.png,1
55.png,1
56.png,1
57.png,1
58.png,1
59.png,1
60.png,1
61.png,1
62.png,1
63.png,1
64.png,1
65.png,1
66.png,1
67.png,1
68.png,1
69.png,1
70.png,1
71.png,1
72.png,1
73.png,1
74.png,1
75.png,1
76.png,1
77.png,1
78.png,0
79.png,0
80.png,0
81.png,0
82.png,1
83.png,1
84.png,1
85.png,1
86.png,1
87.png,1
88.png,1
89.png,1
90.png,1
91.png,1
92.png,1
93.png,1
94.png,1
95.png,1
96.png,1
97.png,1
98.png,1
99.png,1
100.png,0
101.png,0
102.png,0
103.png,0
104.png,0
105.png,0
106.png,0
107.png,0
108.png,0
109.png,0
110.png,0
111.png,0
112.png,0
113.png,0
114.png,0
115.png,0
116.png,0
117.png,0
118.png,0
119.png,0
120.png,0
121.png,0
122.png,1
123.png,1
124.png,1
125.png,1
126.png,1
127.png,1
128.png,1
129.png,1
130.png,1
131.png,1
132.png,1
133.png,1
134.png,1
135.png,1
136.png,1
137.png,1
138.png,1
139.png,1
140.png,1
141.png,1
142.png,1
143.png,1
144.png,1
145.png,1
146.png,1
147.png,1
148.png,1
149.png,1
150.png,0
151.png,1
152.png,0
153.png,0
154.png,0
155.png,0
156.png,0
157.png,1
158.png,0
159.png,0
160.png,0
161.png,0
162.png,0
163.png,0
164.png,0
165.png,0
166.png,1
167.png,1
168.png,1
169.png,1
170.png,1
171.png,1
172.png,1
173.png,1
174.png,1
175.png,1
176.png,1
177.png,1
178.png,1
179.png,1
180.png,1
181.png,1
182.png,1
183.png,1
184.png,1
185.png,1
186.png,1
187.png,1
188.png,1
189.png,1
190.png,1
191.png,1
192.png,1
193.png,0
194.png,0
195.png,0
196.png,0
197.png,0
198.png,0
199.png,0
200.png,0
201.png,0
202.png,0
203.png,0
204.png,0
205.png,0
206.png,0
207.png,0
208.png,0
209.png,1
210.png,1
211.png,1
212.png,1
213.png,1
214.png,1
215.png,1
216.png,1
217.png,1
218.png,1
219.png,1
220.png,1
221.png,1
222.png,1
223.png,1
224.png,1
225.png,1
226.png,1
227.png,1
228.png,1
229.png,1
230.png,1
231.png,1
232.png,1
233.png,1
234.png,1
235.png,1
236.png,1
237.png,1
238.png,1
239.png,1
240.png,1
241.png,0
242.png,0
243.png,0
244.png,0
245.png,0
246.png,0
247.png,0
248.png,0
249.png,0
250.png,0
251.png,0
252.png,0
253.png,0
254.png,1
255.png,0
256.png,0
257.png,0
258.png,0
259.png,0
260.png,0
261.png,1
262.png,1
263.png,1
264.png,1
265.png,1
266.png,1
267.png,1
268.png,1
269.png,1
270.png,1
271.png,1
272.png,1
273.png,1
274.png,1
275.png,1
276.png,1
277.png,1
278.png,1
279.png,1
280.png,1
281.png,1
282.png,1
283.png,1
284.png,1
285.png,1
286.png,1
287.png,1
288.png,1
289.png,1
290.png,1
291.png,1
292.png,1
293.png,1
294.png,1
295.png,1
296.png,1
297.png,1
298.png,1
299.png,0
300.png,1
301.png,1
302.png,0
303.png,1
304.png,0
305.png,0
306.png,0
307.png,0
308.png,0
309.png,0
310.png,0
311.png,1
312.png,1
313.png,0
314.png,0
315.png,0
316.png,0
317.png,0
318.png,0
319.png,1
320.png,1
321.png,1
322.png,1
323.png,1
324.png,1
325.png,1
326.png,1
327.png,1
328.png,1
329.png,1
330.png,1
331.png,1
332.png,1
333.png,1
334.png,1
335.png,1
336.png,1
337.png,1
338.png,1
339.png,1
340.png,1
341.png,1
342.png,1
343.png,1
344.png,1
345.png,1
346.png,1
347.png,1
348.png,1
349.png,1
350.png,1
351.png,1
352.png,1
353.png,1
354.png,1
355.png,1
356.png,1
357.png,1
358.png,1
359.png,1
360.png,1
361.png,1
362.png,1
363.png,0
364.png,0
365.png,0
366.png,0
367.png,0
368.png,0
369.png,0
370.png,0
371.png,0
372.png,1
373.png,1
374.png,1
375.png,1
376.png,1
377.png,1
378.png,1
379.png,1
380.png,1
381.png,1
382.png,1
383.png,1
384.png,1
385.png,1
386.png,1
387.png,1
388.png,1
389.png,1
390.png,1
391.png,1
392.png,1
393.png,1
394.png,1
395.png,1
396.png,1
397.png,1
398.png,1
399.png,1
400.png,1
401.png,1
402.png,1
403.png,1
404.png,1
405.png,1
406.png,1
407.png,1
408.png,1
409.png,1
410.png,1
411.png,1
412.png,1
413.png,1
414.png,1
415.png,1
416.png,1
417.png,1
418.png,1
419.png,1
420.png,1
421.png,1
422.png,1
423.png,1
424.png,1
425.png,1
426.png,1
427.png,0
428.png,0
429.png,0
430.png,0
431.png,0
432.png,0
433.png,0
434.png,0
435.png,0
436.png,0
437.png,1
438.png,1
439.png,1
440.png,1
441.png,1
442.png,1
443.png,1
444.png,1
445.png,1
446.png,1
447.png,1
448.png,1
449.png,1
450.png,1
451.png,1
452.png,1
453.png,1
454.png,1
455.png,1
456.png,1
457.png,1
458.png,1
459.png,1
460.png,1
461.png,1
462.png,1
463.png,1
464.png,1
465.png,1
466.png,1
467.png,1
468.png,1
469.png,1
470.png,1
471.png,1
472.png,0
473.png,1
474.png,0
475.png,0
476.png,0
477.png,0
478.png,0
479.png,0
480.png,0
481.png,0
482.png,0
483.png,0
484.png,0
485.png,0
486.png,1
487.png,1
488.png,1
489.png,1
490.png,1
491.png,1
492.png,1
493.png,1
494.png,1
495.png,1
496.png,1
497.png,1
498.png,1
499.png,1
500.png,1
501.png,1
502.png,1
503.png,1
504.png,1
505.png,1
506.png,1
507.png,1
508.png,1
509.png,1
510.png,1
